"parent_asin","asin","date","rating","username","title","content"
"B0DBZ1XZR9","B0DBYZRL7Z",2024-12-09,5,"Rosa","Awesome","Just as described, came in a regular box and was easy to roll out. It is thin since it's washable so max 25 lbs."
"B0DBZ4NKXJ","B0DBZB9JY5",2024-12-10,5,"momcat622","Great rug!","I didn't expect it to be so nice! I love it! Velvety smooth and soft."
"B0DBZ4NKXJ","B0DBYYXW44",2024-12-11,5,"Ay","Good","Good detail and design. It is comfortable and good quality."
"B0DBVMKVF7","B0DBVNT5V3",2024-12-13,5,"Karen","A touch of color","Love the color and softness of this carpet. Looks great in our little house. Love it"
"B0DBZ1XZR9","B0DBZ76XQH",2024-12-17,5,"Leanne-Sarah","Lovely addition","This rug is the perfect addition to my room! It’s a great size—big enough to anchor the space without overwhelming it. The design and texture are stunning, instantly giving my room more character and warmth. It ties everything together beautifully and makes the space feel so much cozier. The quality is fantastic, and it’s soft underfoot, which is a huge plus. If you’re looking for a rug that’s both stylish and functional, this one is an excellent choice!"
"B0DBYZTRJS","B0DBYT5KQ7",2024-12-19,5,"Ashley","Love it!","I love this rug! Haven't tried washing it yet but it looks great and I'm hoping after I wash it I still love it the same!"
"B0DBZ4NKXJ","B0DBY8NGRN",2024-12-23,1,"Frustosa Mccoy","Not a good rug","Poor quality rug don’t think it will last long at all creases would not come out not worth the money sending it back"
"B0DBZ4NKXJ","B0DBYVNMF8",2024-12-29,5,"Unes Sharma K C","Best ever","Just what I needed. Good value for money"
"B0DBZ4NKXJ","B0DBY8NGRN",2024-12-30,5,"RC","Lovely rug","This rug is very lovely. It’s easy to take care of especially having pets and grandkids. It’s still and it’s adjustment stage of laying flat. I bought another one but different for the bedroom. I would highly recommend it, but I will not be washing it in my washing machine they are too heavy."
"B0DBYZTRJS","B0DBZGL9YS",2025-01-02,5,"Laura E","Nice Rug","Love the colors. My dog is happy to have a run to roll all over. 8x10 is huge. Quality looks good, no smell. Softness is perfect. Cordless Dyson has a problem going over it when vacuuming but room a doesn’t have any issue."
"B0DBZ4NKXJ","B0DBZB9JY5",2025-01-06,5,"M Curtis","I love it !","It is so pretty & soft ! I bought this to cover some of the tile i hate in my kitchen as well as to put under this recent hutch we got . I absolutely love it , and will buy more for other rooms of my house . Great purchase ! Will update if I need to wash it ."
"B0DBZ4NKXJ","B0DBYXH8YW",2025-01-11,5,"Cskud","Pulls room together","I have neutral colored walls and light gray flooring so I spring for this rug to get some darkness in the room. I’m so happy I took a chance on this. It’s pretty thin, very soft and such a good value for money!"
"B0DBZ4NKXJ","B0DBYZ1P1H",2025-01-15,4,"Monica Youngling","Colors are more muted than pic shows","Second washable rug I've ordered (different sellers, but same type of rug) and both were more muted in color. The ""green"" one I ordered (showed up as an apple green in the pic) was more like a darker goldy beige."
"B0DBZ1XZR9","B0DBZ76XQH",2025-01-17,4,"A Brown","Nice looking and very soft rug","I use this rug in my family room. The neutral beige color goes with everything. It doesn’t show dirt with the marbled “geometric” pattern. I have a German shepherd who sheds a lot but this rug is easy to clean with the vacuum rug height set to high. It’s very soft underfoot and stays in place. Nice rug at a reasonable cost."
