"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-03-05T23:42:55+00:00","114-6000580-7535463","G24268-7-Black-6x9-US-V1","B0DBYXH8YW","X004CCN2HB","LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","SDF6","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNH42ZW2S86",
"2025-03-05T22:06:18+00:00","113-0793586-9757002","N1338-1-Orange-8x10-US-V1","B0DBYSVWYJ","X004CCRGQT","LUXRUG Washable Area Rug 8x10 - Large Orange Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor","1","TUS1","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMDE9396589","It&#39;s more a blanket"
"2025-03-05T16:52:15+00:00","111-5764433-9682636","amzn.gr.N1338-3-Sage_Green-8x1-HAiepe-VG","B0DBZGL9YS","X004CCZCIN","LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor","1","CVG2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNA5VRFQ121",
"2025-03-05T15:15:59+00:00","113-9157227-8972218","G24267-2-Beige-3x5-US-V1","B0DBVM2KQN","X004CBBRXX","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor","1","FAR1","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNAC530577952","Too much blue in the rug. Online didn&#39;t show that."
"2025-03-05T15:07:21+00:00","111-9109843-8150636","G24267-5-Green-9x12-US-V1","B0DBVMLB8P","X004CBDMCH","LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","LEX1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNL4F4HTVFB","Just too large for space."
"2025-03-05T13:58:33+00:00","114-8589254-9211419","G24268-7-Black-6x9-US-V1","B0DBYXH8YW","X004CCN2HB","LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","HOU3","SELLABLE","SWITCHEROO","Unit returned to inventory","LPNPMDK7689483","No es la calidad que eaperaba. Es delgada y no se mustra como la fotografia. Esperaba algo mejor"
"2025-03-05T12:53:12+00:00","112-1166919-7010669","G24267-5-Green-9x12-US-V1","B0DBVMLB8P","X004CBDMCH","LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","SDF6","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNH4LZYF3FT","Changed mind"
"2025-03-05T12:12:05+00:00","113-4205650-5770607","G24268-7-Black-6x9-US-V1","B0DBYXH8YW","X004CCN2HB","LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","CVG2","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNA5K6YF8N9","Inaccurate website description"
"2025-03-05T09:40:06+00:00","112-0128652-3226677","G24136-13-Grey-3x5-US-V1","B0DBZGGRRH","X004CCX6XB","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Grey Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor","1","FAR1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNAC932183499","Bought the wrong size"
"2025-03-05T05:49:54+00:00","114-6725536-9101840","G24267-2-Beige-6x9-US-V1","B0DBVM7S5P","X004CBGGCF","LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","SDF6","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNK4C2VRYH9",
